school_id,year,province,district,area_type,school_type,school_ownership,medium_of_instruction,shift,grade_level,gender_served,total_enrollment,female_enrollment_ratio,total_teachers,qualified_teachers_pct,student_teacher_ratio,teacher_training_received,pass_rate_pct,dropout_rate_pct,matric_avg_score,scholarship_available,monthly_fee_pkr,annual_budget_pkr,infrastructure_score,has_electricity,has_clean_water,has_toilets,has_library,has_computer_lab,has_playground,has_boundary_wall,has_internet,building_condition,distance_from_city_km
PKS000024,2023,Punjab,Sargodha,Remote,Government Secondary,Private,English,Morning,Grade 4,Male,352,0.431,8,60.8,44.0,No,61.4,22.9,,No,126,2824144,5.0,Yes,Yes,Yes - Combined,No,No,Yes,No,Yes,Fair,26.5
PKS000025,2022,Punjab,Gujrat,Urban,Government Secondary,NGO/Trust,Bilingual (Urdu/English),Morning,Grade 12,Male,40,0.666,1,75.0,40.0,Partial,65.2,20.6,,Yes,410,2828417,3.0,Yes,No,No,Yes,No,No,Yes,No,Poor,38.3
PKS000026,2025,Punjab,Rawalpindi,Remote,Government Primary,Government,Bilingual (Urdu/English),Morning,Grade 9,Male,100,0.273,3,86.5,33.3,Partial,74.6,21.7,70.8,No,0,493676,5.0,Yes,Yes,No,No,Yes,Yes,Yes,No,Fair,5.4
PKS000027,2022,Punjab,Sheikhupura,Semi-Urban,Government Primary,Private,Urdu,Evening,Grade 9,Male,86,0.663,1,51.7,86.0,Yes,58.0,21.8,68.5,No,846,1110514,4.5,Yes,No,Yes - Combined,Yes,Yes,No,Partial,No,Good,28.6
PKS000028,2023,Sindh,Mirpurkhas,Urban,Government Secondary,Private,Sindhi,Evening,Grade 8,Female,104,0.69,2,78.7,52.0,No,77.4,9.7,,Yes,333,4044380,5.5,Yes,Yes,Yes - Separate,Yes,Yes,No,Partial,No,Poor,74.6
PKS000029,2023,Sindh,Karachi,Semi-Urban,Private Higher Secondary,Private,English,Evening,Grade 10,Female,174,0.219,4,73.6,43.5,Yes,99.0,18.7,86.8,Yes,597,1812827,5.0,Yes,Yes,Yes - Separate,No,Yes,No,No,Yes,Poor,6.4
PKS000030,2022,KPK,Dera Ismail Khan,Semi-Urban,Private Primary,NGO/Trust,Pashto,Morning,Grade 11,Female,111,0.41,3,85.1,37.0,No,53.2,8.4,,No,254,2397331,5.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Fair,47.0
PKS000031,2024,Punjab,Multan,Remote,Madrasah,Government,English,Morning,Grade 8,Male,42,0.582,1,91.0,42.0,Yes,66.0,20.1,,No,0,2467674,2.5,Yes,Yes,No,No,No,No,Partial,No,Fair,11.4
PKS000032,2023,Balochistan,Chaman,Semi-Urban,Government Higher Secondary,Private,Pashto,Evening,Grade 7,Male,89,0.648,2,68.2,44.5,No,99.0,0.5,,Yes,955,6154811,5.0,Yes,Yes,Yes - Separate,Yes,No,No,Yes,No,Fair,7.3
PKS000033,2022,AJK,Bagh,Rural,Government Higher Secondary,Private,English,Evening,Grade 5,Male,59,0.487,1,44.1,59.0,Partial,79.8,14.1,,Yes,1980,2531992,2.0,Yes,No,Yes - Combined,No,No,No,No,No,Good,5.1
PKS000034,2025,KPK,Mardan,Semi-Urban,Private Secondary,Private,Pashto,Morning,Grade 12,Male,25,0.773,1,72.5,25.0,Partial,58.7,5.1,,Yes,1469,2294785,6.0,Yes,Yes,Yes - Separate,Yes,Yes,No,Yes,No,Good,11.1
PKS000035,2023,KPK,Mansehra,Urban,Government Higher Secondary,Community Based,Bilingual (Urdu/English),Morning,Grade 1,Female,154,0.473,4,77.0,38.5,Partial,81.3,19.8,,No,409,5285605,6.0,Partial,Yes,Yes - Separate,Yes,Yes,No,Partial,Yes,Fair,3.3
PKS000036,2022,Balochistan,Pishin,Remote,Madrasah,Government,Urdu,Full Day,Grade 3,Female,26,0.235,1,95.5,26.0,Yes,48.8,26.7,,No,0,2723186,5.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Good,17.9
PKS000037,2024,Punjab,Rawalpindi,Urban,Special Education,Government,Pashto,Morning,Grade 12,Female,280,0.58,7,90.7,40.0,Yes,81.8,16.7,,No,0,2063588,4.0,No,Yes,Yes - Separate,No,No,Yes,No,Yes,Poor,13.2
PKS000038,2022,Sindh,Dadu,Rural,Private Secondary,Community Based,Sindhi,Evening,Grade 5,Male,217,0.578,5,98.4,43.4,Yes,60.5,20.2,,No,694,1069156,2.5,No,No,Yes - Combined,No,No,Yes,Partial,No,Good,31.2
PKS000039,2023,Punjab,Rawalpindi,Rural,Government Higher Secondary,Government,Urdu,Full Day,Grade 5,Male,46,0.395,1,64.8,46.0,Yes,68.9,23.7,,No,0,1505299,6.0,Yes,No,Yes - Separate,Yes,Yes,Yes,Yes,No,Poor,12.7
PKS000040,2023,Balochistan,Chaman,Rural,Private Primary,Private,English,Morning,Grade 5,Female,162,0.679,6,57.5,27.0,Yes,92.9,17.8,,No,862,1565535,5.0,Yes,Yes,Yes - Separate,Yes,No,Yes,No,No,Good,8.9
PKS000041,2023,Sindh,Khairpur,Remote,Private Primary,Private,Bilingual (Urdu/English),Morning,Grade 5,Female,123,0.392,3,71.3,41.0,Partial,73.9,33.5,,No,395,909751,2.0,No,Yes,No,No,No,No,Yes,No,Poor,3.0
PKS000042,2025,Punjab,Lahore,Rural,Government Primary,Private,Pashto,Morning,Grade 2,Male,442,0.421,10,56.5,44.2,Yes,64.1,5.2,,No,237,3812635,6.0,Yes,Yes,Yes - Separate,No,No,Yes,Yes,Yes,Good,20.2
PKS000043,2024,Sindh,Nawabshah,Urban,Private Higher Secondary,NGO/Trust,Urdu,Evening,Grade 8,Male,24,0.688,1,66.4,24.0,Yes,75.7,24.7,,Yes,177,984093,2.0,No,No,Yes - Combined,No,Yes,No,No,No,Fair,11.9
PKS000044,2023,Balochistan,Loralai,Remote,Government Secondary,Government,Urdu,Evening,Grade 9,Female,46,0.355,1,88.6,46.0,No,39.9,20.2,70.4,No,0,1813167,4.0,Yes,Yes,No,No,No,No,Yes,Yes,Fair,26.5
PKS000045,2025,Sindh,Karachi,Rural,Government Primary,Private,Urdu,Evening,Grade 10,Female,85,0.421,1,42.6,85.0,Partial,53.2,22.9,64.1,No,1522,160813,3.5,Partial,Yes,No,No,Yes,No,No,Yes,Excellent,12.6
PKS000046,2025,Punjab,Sargodha,Semi-Urban,Government Primary,Government,Bilingual (Urdu/English),Full Day,Grade 2,Female,41,0.526,1,69.4,41.0,Yes,88.2,10.4,,Yes,0,1636360,4.5,Partial,Yes,Yes - Separate,No,No,No,Yes,Yes,Fair,24.0
PKS000047,2023,Gilgit-Baltistan,Hunza,Remote,Government Primary,Private,Bilingual (Urdu/English),Morning,Grade 6,Female,420,0.495,14,41.6,30.0,No,34.0,12.7,,No,476,10270564,4.0,No,No,No,Yes,Yes,Yes,Yes,No,Poor,7.4
PKS000048,2023,Punjab,Gujranwala,Rural,Private Secondary,Private,Urdu,Morning,Grade 12,Male,368,0.459,9,56.7,40.9,Yes,67.7,23.1,,Yes,677,438034,1.5,Yes,No,No,No,No,No,Partial,No,Fair,2.0
PKS000049,2022,Balochistan,Dera Murad Jamali,Urban,Private Primary,Private,Bilingual (Urdu/English),Evening,Grade 3,Male,24,0.801,1,74.7,24.0,Partial,66.5,1.2,,No,624,2020562,3.0,No,Yes,Yes - Combined,No,No,No,Yes,No,Fair,2.6
PKS000050,2023,AJK,Mirpur,Remote,Government Higher Secondary,Government,Urdu,Morning,Grade 2,Male,333,0.436,11,90.4,30.3,No,29.1,20.7,,No,0,8946186,4.0,No,Yes,Yes - Separate,Yes,No,No,No,Yes,Good,58.4
PKS000051,2025,KPK,Kohat,Remote,Government Primary,Government,Bilingual (Urdu/English),Evening,Grade 4,Male,172,0.292,4,70.6,43.0,No,58.9,31.0,,No,0,4882679,6.0,Yes,Yes,Yes - Separate,No,Yes,Yes,Yes,No,Good,46.1
PKS000052,2023,Gilgit-Baltistan,Skardu,Semi-Urban,Madrasah,Government,English,Morning,Grade 4,Male,32,0.694,1,60.3,32.0,No,91.6,23.9,,No,0,938433,4.0,Yes,No,Yes - Separate,Yes,No,Yes,No,No,Good,31.4
PKS000053,2023,Sindh,Jacobabad,Semi-Urban,Government Secondary,Private,Urdu,Full Day,Grade 5,Male,62,0.395,1,67.5,62.0,Yes,57.4,3.0,,Yes,416,9138257,4.5,Partial,No,No,Yes,Yes,Yes,Yes,No,Fair,5.9
PKS000054,2025,Punjab,Faisalabad,Rural,Government Secondary,Private,Urdu,Full Day,Grade 2,Male,92,0.368,2,78.4,46.0,Yes,80.1,24.4,,No,843,13549882,5.0,Yes,Yes,No,Yes,No,Yes,Yes,No,Good,9.3
PKS000055,2025,Sindh,Thatta,Remote,Private Higher Secondary,Private,Urdu,Morning,Grade 2,Male,98,0.419,3,67.3,32.7,No,75.2,13.8,,No,577,2067521,2.5,Yes,No,Yes - Separate,No,No,No,Partial,No,Good,12.9
PKS000056,2023,KPK,Mardan,Semi-Urban,Private Primary,Government,Urdu,Morning,Grade 9,Male,30,0.552,1,96.3,30.0,Partial,84.8,21.9,77.7,No,0,7617518,3.5,Partial,Yes,No,No,No,No,Yes,Yes,Poor,3.0
PKS000057,2024,KPK,Abbottabad,Semi-Urban,Government Primary,Government,Bilingual (Urdu/English),Evening,Grade 8,Female,71,0.633,2,82.7,35.5,Yes,83.2,18.0,,Yes,0,2696682,6.0,Yes,Yes,Yes - Separate,No,Yes,Yes,Yes,No,Excellent,32.3
PKS000058,2022,Sindh,Nawabshah,Semi-Urban,Madrasah,Private,Urdu,Morning,Grade 10,Female,43,0.588,1,82.7,43.0,No,82.5,8.2,64.3,Yes,619,7263107,4.0,Yes,No,Yes - Separate,No,Yes,No,Yes,No,Poor,6.7
PKS000059,2022,Gilgit-Baltistan,Astore,Urban,Government Primary,Private,Urdu,Full Day,Grade 8,Male,61,0.651,2,70.6,30.5,No,70.5,8.1,,No,319,1420638,2.0,No,Yes,Yes - Separate,No,No,No,No,No,Good,7.0
PKS000060,2024,Punjab,Gujranwala,Rural,Madrasah,Private,Urdu,Morning,Grade 5,Female,84,0.475,1,49.8,84.0,Yes,54.9,9.4,,No,1277,1077908,5.0,No,Yes,Yes - Combined,Yes,Yes,No,Yes,No,Good,3.9
PKS000061,2024,Sindh,Khairpur,Rural,Government Primary,NGO/Trust,Pashto,Morning,Grade 10,Female,40,0.485,1,82.1,40.0,No,54.7,28.3,52.9,Yes,462,1461838,5.0,Yes,Yes,Yes - Separate,No,Yes,No,No,Yes,Fair,24.9
PKS000062,2023,Punjab,Lahore,Urban,Private Secondary,Government,English,Morning,Grade 3,Male,171,0.463,4,68.6,42.8,Yes,95.0,9.7,,No,0,877266,4.0,Yes,Yes,Yes - Combined,No,No,No,Yes,No,Fair,5.8
PKS000063,2022,Punjab,Lahore,Rural,Government Secondary,Government,Urdu,Evening,Grade 3,Male,26,0.685,1,61.3,26.0,Partial,65.5,13.0,,No,0,462832,5.0,Yes,Yes,No,Yes,Yes,No,Yes,No,Poor,7.6
PKS000064,2023,AJK,Mirpur,Rural,Government Higher Secondary,Government,English,Evening,Grade 4,Female,178,0.289,4,89.0,44.5,Yes,57.0,33.3,,Yes,0,1937879,2.5,Partial,Yes,No,No,No,No,Yes,No,Fair,7.2
PKS000065,2025,Punjab,Multan,Urban,Private Primary,Community Based,Bilingual (Urdu/English),Full Day,Grade 4,Female,38,0.524,1,60.6,38.0,Yes,62.3,18.4,,No,810,354760,3.0,No,Yes,Yes - Separate,Yes,No,No,No,No,Very Poor,13.9
PKS000066,2024,AJK,Rawalakot,Rural,Government Primary,Private,English,Morning,Grade 4,Male,88,0.46,2,65.6,44.0,Yes,81.4,21.5,,No,1486,2922537,1.5,No,No,No,No,No,Yes,Partial,No,Very Poor,4.6
PKS000067,2025,Islamabad (ICT),Islamabad,Semi-Urban,Government Primary,Private,Urdu,Morning,Grade 6,Female,206,0.501,6,65.4,34.3,No,59.6,3.3,,No,392,13430764,4.5,Yes,Yes,Yes - Separate,No,No,Yes,Partial,No,Poor,7.9
PKS000068,2023,KPK,Charsadda,Urban,Government Secondary,Private,Urdu,Evening,Grade 6,Female,214,0.215,7,55.2,30.6,Yes,99.0,1.5,,Yes,366,660927,1.5,Partial,Yes,No,No,No,No,No,No,Good,32.1
PKS000069,2024,Punjab,Rawalpindi,Semi-Urban,Government Primary,Private,Urdu,Evening,Grade 1,Male,84,0.535,2,82.4,42.0,Yes,89.9,14.6,,No,690,11084019,4.0,Yes,Yes,Yes - Separate,No,No,No,Yes,No,Fair,28.9
PKS000070,2025,Sindh,Mirpurkhas,Rural,Government Secondary,Government,Urdu,Evening,Grade 7,Male,570,0.298,17,76.3,33.5,Partial,77.0,6.9,,No,0,611864,4.5,Partial,Yes,Yes - Separate,No,No,Yes,Yes,No,Fair,106.1
PKS000071,2024,KPK,Nowshera,Remote,Private Primary,Private,Urdu,Morning,Grade 10,Female,143,0.576,4,86.6,35.8,Partial,68.6,24.5,55.0,Yes,215,1601594,8.0,Yes,Yes,Yes - Combined,Yes,Yes,Yes,Yes,Yes,Poor,18.0
PKS000072,2023,Punjab,Sialkot,Urban,Government Primary,Private,Urdu,Morning,Grade 1,Female,2285,0.558,59,94.9,38.7,Yes,64.5,0.5,,Yes,848,638747,4.5,Yes,Yes,Yes - Separate,No,Yes,No,Partial,No,Poor,3.8
PKS000073,2024,Punjab,Rawalpindi,Rural,Madrasah,Government,Urdu,Full Day,Grade 3,Male,45,0.721,1,74.6,45.0,Partial,67.5,9.9,,No,0,316545,4.0,Yes,Yes,Yes - Separate,No,No,Yes,No,No,Good,3.6
PKS000074,2022,Punjab,Multan,Rural,Special Education,Government,English,Evening,Grade 1,Male,66,0.448,2,74.1,33.0,No,59.1,25.6,,No,0,3351435,5.5,Yes,Yes,Yes - Separate,Yes,Yes,No,Partial,No,Fair,6.9
PKS000075,2025,Balochistan,Hub,Rural,Government Primary,Community Based,English,Evening,Grade 6,Male,303,0.233,8,54.9,37.9,No,95.0,19.6,,Yes,266,3982570,3.0,No,Yes,No,No,No,Yes,Yes,No,Fair,17.7
PKS000076,2023,Islamabad (ICT),Islamabad,Rural,Private Primary,Private,Urdu,Morning,Grade 1,Male,140,0.637,3,41.3,46.7,No,46.4,7.4,,No,156,499722,5.0,Yes,Yes,Yes - Separate,Yes,No,No,Yes,No,Poor,2.0
PKS000077,2024,Islamabad (ICT),Islamabad,Urban,Private Primary,NGO/Trust,Urdu,Morning,Grade 12,Male,73,0.492,1,99.2,73.0,Yes,57.1,5.6,,Yes,1,1873745,4.0,Yes,No,Yes - Separate,No,No,Yes,Yes,No,Poor,26.5
PKS000078,2024,KPK,Mansehra,Rural,Government Primary,Government,Urdu,Morning,Grade 3,Male,131,0.525,4,80.3,32.8,Yes,42.0,18.7,,No,0,1294422,2.0,No,Yes,Yes - Combined,No,No,No,No,No,Fair,113.4
PKS000079,2023,Sindh,Mirpurkhas,Urban,Government Primary,Government,Pashto,Morning,Grade 8,Female,264,0.732,9,76.5,29.3,Yes,69.4,6.4,,No,0,1656807,3.0,No,No,Yes - Separate,No,No,Yes,Yes,No,Good,2.3
PKS000080,2025,Punjab,Sialkot,Urban,Government Higher Secondary,Private,Urdu,Evening,Grade 5,Male,419,0.726,11,66.1,38.1,No,63.7,12.1,,No,2414,2667811,1.5,Partial,No,Yes - Separate,No,No,No,No,No,Poor,17.2
PKS000081,2023,Sindh,Sukkur,Rural,Government Secondary,Private,Urdu,Evening,Grade 11,Female,928,0.129,24,62.0,38.7,No,89.5,22.2,,No,2268,396056,5.0,Yes,Yes,Yes - Separate,No,No,Yes,No,Yes,Poor,8.6
PKS000082,2025,KPK,Mansehra,Rural,Private Secondary,Private,Urdu,Evening,Grade 11,Female,36,0.406,1,92.3,36.0,No,74.3,25.5,,No,785,3366964,3.0,No,Yes,No,Yes,No,Yes,No,No,Fair,0.5
PKS000083,2025,KPK,Dera Ismail Khan,Semi-Urban,Government Primary,Private,Urdu,Morning,Grade 1,Male,197,0.636,5,91.0,39.4,Yes,62.7,13.2,,Yes,1067,38035511,1.5,No,No,No,No,No,Yes,Partial,No,Fair,19.7
PKS000084,2024,Punjab,Lahore,Rural,Government Secondary,Community Based,English,Morning,Grade 9,Male,215,0.207,4,54.7,53.8,No,48.7,17.5,59.5,Yes,219,1384790,7.0,Yes,Yes,Yes - Separate,Yes,No,Yes,Yes,Yes,Good,5.0
PKS000085,2022,Punjab,Sargodha,Urban,Private Secondary,Community Based,Urdu,Evening,Grade 7,Male,547,0.478,12,64.5,45.6,Yes,76.7,4.7,,Yes,3123,2271087,4.0,No,Yes,No,No,No,Yes,Yes,Yes,Poor,10.1
PKS000086,2022,Punjab,Bahawalpur,Rural,Government Secondary,Government,Bilingual (Urdu/English),Morning,Grade 8,Female,250,0.408,6,82.1,41.7,No,40.5,16.5,,No,0,3981938,6.0,Yes,Yes,Yes - Separate,No,Yes,Yes,Yes,No,Very Poor,22.4
PKS000087,2025,Islamabad (ICT),Islamabad,Remote,Madrasah,Government,English,Morning,Grade 11,Female,204,0.543,6,81.4,34.0,No,42.5,39.1,,Yes,0,5121016,4.0,Yes,No,Yes - Separate,Yes,No,Yes,No,No,Very Poor,9.2
PKS000088,2023,Punjab,Gujranwala,Remote,Madrasah,Government,Urdu,Morning,Grade 7,Male,101,0.562,3,75.4,33.7,Partial,46.8,33.8,,No,0,583930,3.0,Yes,Yes,No,No,No,No,Yes,No,Fair,12.2
PKS000089,2022,Sindh,Sukkur,Semi-Urban,Madrasah,Government,English,Morning,Grade 1,Male,20,0.92,1,87.0,20.0,Partial,83.2,7.0,,Yes,0,922235,3.0,Yes,No,Yes - Separate,No,No,No,Yes,No,Excellent,8.9
PKS000090,2023,Sindh,Hyderabad,Semi-Urban,Government Primary,Government,Pashto,Morning,Grade 11,Female,41,0.629,1,64.5,41.0,Yes,93.3,17.8,,Yes,0,3512115,5.5,Yes,Yes,Yes - Combined,No,Yes,Yes,Partial,No,Poor,4.2
PKS000091,2023,Islamabad (ICT),Islamabad,Remote,Government Secondary,Private,Urdu,Morning,Grade 5,Female,127,0.489,3,67.0,42.3,Yes,43.4,34.7,,No,460,4712100,3.0,Yes,Yes,No,No,No,No,Yes,No,Poor,151.4
PKS000092,2025,Punjab,Sargodha,Remote,Government Primary,Government,Urdu,Morning,Grade 2,Male,142,0.36,4,74.2,35.5,Partial,42.3,26.1,,No,0,6679124,5.0,No,No,Yes - Separate,Yes,No,Yes,Yes,Yes,Fair,16.0
PKS000093,2025,Punjab,Bahawalpur,Rural,Government Primary,Government,Bilingual (Urdu/English),Morning,Grade 7,Female,181,0.497,5,66.5,36.2,Yes,59.3,25.5,,Yes,0,1145785,4.0,Yes,Yes,Yes - Combined,Yes,No,No,No,No,Very Poor,5.5
PKS000094,2023,Balochistan,Pishin,Remote,Government Higher Secondary,Private,Urdu,Morning,Grade 10,Female,90,0.384,2,45.2,45.0,Yes,58.5,21.9,65.4,No,424,7344162,5.0,Yes,No,Yes - Separate,Yes,Yes,No,Yes,No,Very Poor,4.4
PKS000095,2022,Punjab,Sheikhupura,Urban,Private Primary,Private,English,Morning,Grade 6,Male,319,0.324,12,42.6,26.6,Yes,91.1,7.1,,No,148,905789,7.0,Yes,No,Yes - Separate,Yes,Yes,Yes,Yes,Yes,Very Poor,17.8
PKS000096,2024,Punjab,Gujrat,Urban,Special Education,Government,Urdu,Evening,Grade 4,Female,102,0.598,3,68.9,34.0,Yes,52.3,10.6,,Yes,0,1549146,4.0,No,Yes,Yes - Separate,Yes,No,No,Yes,No,Fair,3.1
PKS000097,2024,Punjab,Gujranwala,Urban,Government Primary,Private,Urdu,Morning,Grade 9,Male,74,0.593,1,50.1,74.0,Partial,99.0,16.1,79.2,No,249,12429030,5.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Poor,9.0
PKS000098,2024,Gilgit-Baltistan,Ghanche,Urban,Government Primary,Private,Urdu,Evening,Grade 5,Male,201,0.576,6,46.9,33.5,No,98.5,14.3,,Yes,1322,3956373,4.5,Partial,No,No,Yes,Yes,No,Yes,Yes,Excellent,4.2
PKS000099,2025,Punjab,Sargodha,Rural,Madrasah,NGO/Trust,Urdu,Evening,Grade 6,Female,84,0.203,2,75.7,42.0,Partial,66.4,25.3,,No,57,1564877,3.0,No,Yes,Yes - Separate,Yes,No,No,No,No,Excellent,2.0
PKS000100,2025,Sindh,Nawabshah,Semi-Urban,Private Secondary,NGO/Trust,Urdu,Evening,Grade 4,Male,112,0.43,2,89.7,56.0,No,80.4,16.2,,Yes,31,659455,5.0,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,3.2
PKS000101,2024,Punjab,Bahawalpur,Urban,Government Primary,Government,English,Full Day,Grade 5,Female,241,0.487,5,66.2,48.2,No,73.7,17.6,,No,0,7300758,5.0,Yes,Yes,Yes - Combined,No,Yes,No,No,Yes,Excellent,2.7
PKS000102,2025,AJK,Rawalakot,Remote,Private Secondary,Government,Bilingual (Urdu/English),Morning,Grade 7,Female,226,0.17,8,71.9,28.2,No,35.7,39.6,,No,0,3801530,8.0,Yes,Yes,Yes - Separate,Yes,Yes,Yes,Yes,Yes,Good,2.0
